0:00,1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,Mood,Sick?
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,20.0,3.0,16.0,12.0,12.0,12.0,12.0,12.0,14.0,10.0,10.0,10.0,10.0,14.0,-6,n
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,8.0,8.0,8.0,4,10.0,10.0,10.0,10.0,3,21,20,12.0,7.1,1.0,1.0,-7,n
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,10.0,10.0,10.0,10.0,10.0,10.0,3,8,12.0,12.0,12.0,12.0,12.0,11.0,-6,y
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,8.0,8.0,8.0,18.1,12.0,12.0,12.0,11,12.0,20,18.1,18.1,18.1,15,-5,n
1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,5.0,8.0,8.0,17.1,11.0,11.0,12.0,12.0,12.0,8,7.0,7.0,12.0,12.0,12.0,12.0,-7,n
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,8.0,2.0,8.0,10.0,10.0,7.0,7.0,7.0,1.0,12.0,12.0,11,11,18.1,18.1,-5,y
18.1,18.1,1.0,1.0,1.0,1.0,1.0,1.0,2.0,7.1,11.0,11.0,11.0,11.0,11.0,20.0,4,7.0,7.0,1.0,1.0,3,12.0,12.0,-5,y
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20.0,20.0,12.0,12.0,12.0,12.0,12.0,7.0,10.0,10.0,10.0,12.0,16.0,-5,y
15.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,2.0,8.0,8.0,8.0,7.0,10.0,10.0,10.0,10.0,20.0,12.0,12.0,12.0,7.1,17.2,1.0,-5,n
1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,3.0,10.0,10.0,10.0,10.0,10.0,10.0,16.0,8.0,17.1,15.0,7.0,21.0,1.0,1.0,-5,n
1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,5.0,3.0,8.0,8.0,8.0,7.0,7.0,12.0,1.0,1.0,12.0,7.0,7.0,7.0,7.0,15.0,-4,y
15.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,5.0,8.0,8.0,22,3.0,12.0,20.0,20.0,21.0,8.0,7.0,7.0,12.0,12.0,1.0,1.0,-4,n
1.0,1.0,1.0,1.0,1.0,1.0,2.0,5.0,3.0,8.0,8.0,8.0,10.0,10.0,12.0,12.0,12.0,7.0,7.0,7.0,7.0,7.0,12.0,11.0,-5,n
1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,7.1,11.0,11.0,11.0,11.0,11.0,11.0,11.0,7.0,7.0,7.0,1.0,1.0,1.0,7.0,7.0,-6,y
1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,7.1,6.0,13.0,13.0,6.0,11.0,11.0,11.0,11.0,7.0,2.0,10.0,10.0,10.0,10.0,1.0,-6,y
1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,7.0,8.0,8.0,8.0,3.0,10.0,10.0,10.0,10.0,3.0,12.0,12.0,1.0,1.0,12.0,7.0,-5,y
7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,1.0,8.0,7.0,20,20,20,12.0,12.0,-5,n
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,8.0,8.0,8.0,7.0,12.0,1.0,1.0,7.0,7.0,12.0,12.0,1.0,15.0,15.0,-5,y
12.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,5.0,8.0,8.0,3.0,12.0,12.0,1.0,1.0,16.0,16.0,7.1,7.1,11.0,12.0,12.0,1.0,-5,n
12.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,5.0,8.0,3.0,8.0,10.0,10.0,12.0,7.0,7.0,21.0,1.0,1.0,12.0,12.0,11.0,11.0,-5,y
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.1,11.0,11.0,11.0,11.0,11.0,11.0,20,20,1.0,1.0,1.0,21.0,7.1,1.0,1.0,-5,y
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,12.0,12.0,12.0,12.0,3.0,12.0,12.0,20,1.0,1.0,10.0,10.0,10.0,10.0,1.0,-4,n
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,8.0,8.0,8.0,12.0,10.0,10.0,10.0,10.0,3.0,12.0,12.0,12.0,12.0,12.0,1.0,-6,y
12.0,12.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,2.0,10.0,10.0,10.0,10.0,10.0,10.0,3.0,1.0,12.0,12.0,12.0,12.0,12.0,12.0,-5,n
12.0,12.0,12.0,12.0,12.0,12.0,12.0,1.0,1.0,3.0,8.0,8.0,11.0,22.0,20,12.0,12.0,12.0,12.0,10.0,10.0,10.0,10.0,7.0,-5,y
7.0,12.0,12.0,1.0,1.0,1.0,1.0,2.0,12.0,12.0,12.0,12.0,12.0,20,20,12.0,12.0,3.0,1.0,12.0,12.0,12.0,12.0,7.0,-5,y
7.0,12.0,12.0,1.0,1.0,1.0,1.0,2.0,5.0,8.0,1.0,1.0,7.0,16.0,12.0,12.0,1.0,12.0,12.0,12.0,7.1,7.0,7.0,1.0,-5,y
15.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,20.0,11.0,11.0,11.0,11.0,14.0,14.0,14.0,14.0,14.0,11.0,11.0,11.0,14.0,14.0,7.0,-4,n
7.0,7.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,7.0,7.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,7.0,7.0,7.0,-5,n
7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0,8.0,12.0,18.0,18.0,20,4.0,4.0,7.0,18.1,18.1,18.1,18.1,18.1,-4,n
18.1,19.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,2.0,10.0,10.0,10.0,10.0,10.0,10.0,3.0,8.0,11.0,20.0,18.1,12.0,12.0,1.0,-5,n
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,2.0,8.0,7.0,3.0,3.0,7.0,11.0,21.0,21.0,1.0,1.0,19.0,19.0,11.0,11.0,-5,y
11.0,12.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,8.0,8.0,7.0,3.0,12.0,12.0,12.0,7.0,8.0,12.0,12.0,12.0,7.0,7.0,12.0,-5,n
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0,8.0,8.0,10.0,10.0,12.0,12.0,12.0,12.0,12.0,7.1,7.0,7.0,7.0,7.0,-5,n
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,7.1,11.0,11.0,11.0,11.0,11.0,3.0,17.1,17.1,17.1,17.1,17.1,7.0,15.0,1.0,-5,n
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.1,13.0,13.0,13.0,6.0,15.0,15.0,7.0,7.0,7.0,10.0,10.0,10.0,10.0,12.0,-6,y
7.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,8.0,8.0,8.0,12.0,10.0,10.0,10.0,10.0,12.0,8.0,12.0,16.0,12.0,15.0,1.0,-7,n
1.0,1.0,21.0,21.0,12.0,1.0,1.0,2.0,5.0,3.0,10.0,10.0,10.0,10.0,12.0,20.0,3.0,12.0,12.0,12.0,12.0,7.0,12.0,12.0,-6,y
7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12.0,8.0,8.0,12.0,12.0,2.0,22.0,17.2,12.0,5.0,10.0,10.0,10.0,10.0,19.0,-7,n
19.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,6.0,22.0,20.0,6.0,12.0,12.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,-6,y
12.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0,14.0,14.0,10.0,10.0,12.0,12.0,12.0,2.0,7.1,13.0,13.0,12.0,7.0,7.0,-6,n
7.0,11.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,11.0,11.0,11.0,11.0,11.0,7.0,7.0,7.0,1.0,1.0,1.0,7.1,7.0,12.0,-4,n
12.0,12.0,,12.0,12.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,20.0,20.0,12.0,12.0,12.0,1.0,10.0,10.0,10.0,10.0,12.0,-6,n
12.0,12.0,12.0,12.0,12.0,12.0,1.0,1.0,2.0,8.0,8.0,8.0,12.0,10.0,10.0,10.0,10.0,12.0,12.0,7.0,16.1,16.1,16.1,1.0,-7,y
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,10.0,10.0,10.0,10.0,10.0,10.0,20.0,3.0,1.0,1.0,1.0,16.0,14.0,14.0,-5,n
